Topic,Words,Frequency,Class
-1,"biblioteken, barn, medier, biblioteket, genom",18,Östhammar
0,"digitala, digitala tjänster, behovet, digitalt, biblioteken folkbiblioteken får",1,Östhammar
1,"skapande, bibliotek egna orter, eftersom biblioteken ses, kulturcentra närsamhällen tillgången, orter finns behov",1,Östhammar
2,"2011, tillgång landets samlade biblioteksresurser biblioteksverksamheten, samlade biblioteksresurser biblioteksverksamheten östhammars, östhammars kommun kultur fritidsnämnden, ansvarar folkbiblioteksverksamheten kommunen barn",1,Östhammar
4,"folkbiblioteken, lärande delaktighet kulturlivet 5barn ungdomar, läsning tillgång litteratur också verka, lärande delaktighet kulturlivet 5barn, kulturlivet 5barn ungdomar nämns specifikt",1,Östhammar
7,"ansvar, del, skolbibliotek, elevernas, eleverna",1,Östhammar
9,"målgruppen, behovet, kommunen, personella resurserna gjorts resulterat, grupp bibliotekslagen biblioteken kommunen",1,Östhammar
16,"timmar veckan begränsar, skollagen skolbiblioteket viktig, verksamheten fokusområden skolbiblioteken elever kommunen, skol gymnasiebiblioteken skolbiblioteken bemannas, få timmar",1,Östhammar
23,"finns, kulturhuset, folkbibliotek, 2011, storbrunn östhammar",1,Östhammar
-1,"skolbiblioteken, genom, biblioteket, mariestads, barn",23,Mariestad
0,"digitala, digital, medier, tjänster, digidelcenter",9,Mariestad
2,"kommuner, bibliotek mellansjö kommuner, ingår bibliotek mellansjö kommuner skaraborg, kommuner skaraborg samarbetar biblioteksfrågor, bibliotek mellansjö kommuner skaraborg samarbetar",2,Mariestad
3,"mariestads, mariestads kommun, styrdokument, kommun, folkbiblioteket",1,Mariestad
6,"lokaliserat skolans lokaler tunaholmsskolan, lokaliserat skolans lokaler, tunaholmsskolan, bibliotek samordnar även vadsbogymnasiet vadsbogymnasiets, bibliotek samordnar",1,Mariestad
10,"bibliotek mellansjös, mellansjös, finska, finska språket, nationella",2,Mariestad
14,"biblioteken allmänna biblioteksväsendet, biblioteken allmänna, allmänna biblioteksväsendet, biblioteksväsendet, allmänna",1,Mariestad
24,"timmar, totalt, veckan, besökare coronapandemin bestånd 100 000, 2020 påverkas antalet besökare coronapandemin",1,Mariestad
-1,"härnösands, biblioteket, samt, bibliotekets, härnösands bibliotek",20,Härnösand
0,"digital, digitala, härnösands, digitalt, ta del",3,Härnösand
3,"prioriterade utvecklingsområden perioden, utvecklingsområden perioden, prioriterade utvecklingsområden, bibliotekets prioriterade utvecklingsområden perioden, bibliotekets prioriterade utvecklingsområden",1,Härnösand
8,"rätt, rättigheter, rätt uttrycka, uttrycka, fn",1,Härnösand
10,"svenska, nationella, litteratur, många, språk",1,Härnösand
14,"fri, kunskap, allmänna biblioteksväsendet, allmänna, biblioteksväsendet",1,Härnösand
19,"kommun folkbibliotek 10 elever grundskolenivå, kommun folkbibliotek 10 elever, görs främst genom bredd utbudet, ung gammal också genom, skolbibliotek 17 anger kommuner anta",1,Härnösand
28,"läsning, olika, ta olika uttryck konstformer, olika uttryck konstformer bild, litteratur också ta",2,Härnösand
-1,"lessebo, biblioteken, lessebo kommun, finns, strategier",19,Lessebo
0,"exempel, kunna, information, verktyg, läroplanen lära",1,Lessebo
1,"stämma tillgänglighet, stämma, tillgänglighet, biblioteken, exempel",2,Lessebo
2,"blekinge kronoberg, kronoberg, blekinge, bibk, samverkan",4,Lessebo
3,"region kronoberg, kronoberg, region, skolverket, regional",9,Lessebo
4,"funktionsnedsättning, utgöra hinder, hinder, utgöra, litteratur olika",1,Lessebo
10,"hylla, nationella, svenska, modersmål, litteratur",1,Lessebo
11,"svensk biblioteksförening, biblioteksförening, lagstiftaren stockholm svensk biblioteksförening 2015, svensk biblioteksförening 2015 35, 2015 35",2,Lessebo
12,"kommun, boenden levande kommun rikt fritidsliv, bryr varandras framtid naturnära, kommun rikt fritidsliv, kommun livskvalitet trygghet står",1,Lessebo
15,"låntagare, nära, media, bemötandepolicy framtagen hålla låga nivåer, låntagare interagerar via",1,Lessebo
17,"barn ungas fritid, ungas fritid, bemanning, barn ungas, fritid",1,Lessebo
-1,"hofors, hofors kommun, biblioteket, kommun, barn",20,Hofors
3,"hofors kommun, hofors, kommun, läsfrämjande insatser, 2021 2023innehållsförteckning",2,Hofors
4,"huvudmannen, nationella, nationella minoritetsspråken, ansvarar, annat",4,Hofors
5,"plan, dokument föreliggande plan, 2018 2020 uppföljning görs regelbundet, plan finns styrande vägledande, 2018 2020 uppföljning görs",1,Hofors
6,"hofors kommun, hofors, skolbibliotek, kommunens, kommunens gymnasieskola",3,Hofors
7,"trygg utvecklande mötesplats, utvecklande mötesplats, trygg utvecklande, elevernas, utvecklande",2,Hofors
9,"befolkningen, år, äldre, 65 år, 65",1,Hofors
12,"kommunen, framtidsstrategi, hofors, kommunens, kommun",1,Hofors
14,"biblioteken allmänna biblioteksväsendet, biblioteken allmänna, allmänna biblioteksväsendet, biblioteksväsendet, allmänna",1,Hofors
18,"folkbiblioteken, tid, få, tillgång, litteratur",1,Hofors
20,"ansvarar, staten, kommuner, ansvarar staten, bestämmelserna kap skollagen 2010 800",2,Hofors
22,"helge, gemensamma resurser, helge biblioteken, hofors, samarbetet",1,Hofors
26,"lånecentraler, områden anknyter, forskning universitetet högskolan, universitetet högskolan, forskning universitetet",2,Hofors
-1,"biblioteket, storfors, skolbiblioteket, bibliotek, även",34,Storfors
1,"möten människor emellan, värmland, människor emellan, emellan, möten människor",2,Storfors
2,"samarbetet, storfors, bibliotek värmland, värmland, medieutbud",2,Storfors
3,"storfors, storfors kommun, biblioteksplan storfors kommun, biblioteksplan storfors, storfors kommun 2021",2,Storfors
4,"biblioteket erbjuda, personer, äldre personer, erbjuda, äldre personer funktionsnedsättningar finns flesta",1,Storfors
6,"vargbroskolan, vargbroskolan skolbiblioteket, förskoleklass år, år samt, ligger",1,Storfors
9,"storfors, procent, kommunen, år, andelen",3,Storfors
10,"minoritetsspråken, svenska, nationella, annat, andra",2,Storfors
